url,title,price,status,country,proxy,retries,scraped_at
https://www.amazon.fr/dp/B0829F4419/?th=1,collier feutre - diamètre 125 mm - atlantic 543544,"5,",success,France,82.24.27.109,0,2026-05-25 08:50:47
https://www.amazon.fr/dp/B08TX5KTX1/?th=1,PLATOIR CRANTÉ 280 MM - 10 x 10 mm - 45°,"8,",success,France,9.142.208.6,0,2026-05-25 08:50:47
https://www.amazon.fr/dp/B0G1TN4YX6/?th=1,"Chicco Pocket Snack Rehausseur Chaise Bébé pour Enfants de 6 mois à 3 ans (15 kg), Chaise Haute Portable, Réglable, avec Fermeture Compacte et Plateau Amovible - Dark Grey","41,",success,France,9.142.211.209,0,2026-05-25 08:50:47
