url,title,price,status,country,proxy,retries,scraped_at
https://www.amazon.fr/dp/B000VG4SMO/?th=1,Schneider Electric - TeSys GV - contact auxiliaire - 2F - GVAN20,"12,",success,France,31.98.13.237,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B013UV5C6M/?th=1,Nicoll - Té 45° MF : 100,"32,",success,France,9.142.11.61,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0CWSHT3ZV/?th=1,MS BabyWorld – DENVER & CAPRI – Siège-auto i-Size Groupe 0/1/2/3 | 40-150 cm | De la naissance à 12 ans (0-36 kg) | Dos à la route 18 kg | Pivotant 360º Universel (Denver Gris Negro),"179,",success,France,23.27.88.188,1,2026-05-25 09:08:19
https://www.amazon.fr/dp/B00IXRXJ0U/?th=1,L'outil parfait - Perche/manche telescopique-acier laque - Dim. mm.2 x 150 -,"20,",success,France,136.0.170.202,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B013UV5C6M/?th=1,Nicoll - Té 45° MF : 100,"32,",success,France,192.53.138.248,0,2026-05-25 09:08:19
https://www.amazon.fr/Rampur-Double-Indian-Single-Whisky/dp/B08B9ZS8CL/ref=sr_1_1?keywords=8902147004052&smid=A1X6FK5RDHNB96&th=1,RAMPUR - Double Cask - Single Malt Whisky - 45% Alcool - Origine : Inde/Uttar Pradesh - Bouteille 70 cl,"34,",success,France,82.23.97.46,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0GQ4JN66D/?th=1,Casque Evolution Solid - Matcha Satiné - Taille XXS/XS - TSG,"59,",success,France,209.166.16.150,2,2026-05-25 09:08:19
https://www.amazon.fr/dp/B07Q51MR4X/?th=1,"Opinel - N°218 Couteau de Chef 20 cm Intempora - pour Couper, Émincer, Hacher - Lame Inox Rigide - Manche Polyoxyméthylène Robuste - Fabrication Française","33,",success,France,82.21.42.133,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0BZ8JZ1FW/?th=1,Switch Panel 4S VOTRONIC,"15,",success,France,209.166.3.167,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B08VNMDBS8/?th=1,Pranarôm Hydrolat Lavande Vraie Bio Adoucit et Apaise les peaux sensibles 150 ml,"9,",success,France,45.39.157.51,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B000KJPH7M/?th=1,Herma 7583 Lot de 10 Pochettes perforées Transparent,"6,",success,France,5.59.250.218,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0GXF9MLZS/?th=1,Tank Holder Washer Kit Ze88-2005 - Zeta Racing,"5,",success,France,166.0.43.150,2,2026-05-25 09:08:19
https://www.amazon.fr/dp/B003X8HZA4/?th=1,CONT.K AUX.3NA+1NC 24VCC ANTIP,"35,",success,France,96.62.180.152,0,2026-05-25 09:08:19
https://www.amazon.fr/dp/B0F1D2XM1P/?th=1,"LÄSSIG Sac à langer pour bébé avec matelas à langer, fixation pour poussette, sac en filet, sac à dos de conversion GRE","119,",success,France,82.26.114.45,0,2026-05-25 09:08:19
